date	borough	n
306	2015-02-13	Queens	8048
307	2015-02-13	Staten Island	38
308	2015-02-13	Unknown	42
309	2015-02-14	Bronx	1333
310	2015-02-14	Brooklyn	16094
311	2015-02-14	EWR	0
312	2015-02-14	Manhattan	77144
313	2015-02-14	Queens	7698
314	2015-02-14	Staten Island	44
315	2015-02-14	Unknown	34
316	2015-02-15	Bronx	1094
317	2015-02-15	Brooklyn	14329
318	2015-02-15	EWR	0
319	2015-02-15	Manhattan	69091
320	2015-02-15	Queens	6746
321	2015-02-15	Staten Island	32
322	2015-02-15	Unknown	28
323	2015-02-16	Bronx	867
324	2015-02-16	Brooklyn	10563
325	2015-02-16	EWR	0
326	2015-02-16	Manhattan	54076
327	2015-02-16	Queens	8117
328	2015-02-16	Staten Island	21
329	2015-02-16	Unknown	28
330	2015-02-17	Bronx	866
331	2015-02-17	Brooklyn	8828
332	2015-02-17	EWR	2
333	2015-02-17	Manhattan	57689
334	2015-02-17	Queens	6771
335	2015-02-17	Staten Island	40
336	2015-02-17	Unknown	25
337	2015-02-18	Bronx	927
338	2015-02-18	Brooklyn	9387
339	2015-02-18	EWR	1
340	2015-02-18	Manhattan	57298
341	2015-02-18	Queens	5818
342	2015-02-18	Staten Island	31
343	2015-02-18	Unknown	31
344	2015-02-19	Bronx	1153
345	2015-02-19	Brooklyn	10829
346	2015-02-19	EWR	1
347	2015-02-19	Manhattan	71791
348	2015-02-19	Queens	6434
349	2015-02-19	Staten Island	32
350	2015-02-19	Unknown	31
351	2015-02-20	Bronx	1227
352	2015-02-20	Brooklyn	13327
353	2015-02-20	EWR	0
354	2015-02-20	Manhattan	80861
355	2015-02-20	Queens	7277
356	2015-02-20	Staten Island	34
357	2015-02-20	Unknown	36
358	2015-02-21	Bronx	1162
359	2015-02-21	Brooklyn	16247
360	2015-02-21	EWR	1
361	2015-02-21	Manhattan	76096
362	2015-02-21	Queens	6891
363	2015-02-21	Staten Island	51
364	2015-02-21	Unknown	33
365	2015-02-22	Bronx	965
366	2015-02-22	Brooklyn	12024
367	2015-02-22	EWR	1
368	2015-02-22	Manhattan	47620
369	2015-02-22	Queens	7174
370	2015-02-22	Staten Island	19
371	2015-02-22	Unknown	41
372	2015-02-23	Bronx	1000
373	2015-02-23	Brooklyn	9942
374	2015-02-23	EWR	0
375	2015-02-23	Manhattan	54018
376	2015-02-23	Queens	7465
377	2015-02-23	Staten Island	35
378	2015-02-23	Unknown	34
379	2015-02-24	Bronx	1048
380	2015-02-24	Brooklyn	9915
381	2015-02-24	EWR	0
382	2015-02-24	Manhattan	63366
383	2015-02-24	Queens	6120
384	2015-02-24	Staten Island	38
385	2015-02-24	Unknown	33
386	2015-02-25	Bronx	1095
387	2015-02-25	Brooklyn	9756
388	2015-02-25	EWR	1
389	2015-02-25	Manhattan	59039
390	2015-02-25	Queens	6046
391	2015-02-25	Staten Island	24
392	2015-02-25	Unknown	31
393	2015-02-26	Bronx	1075
394	2015-02-26	Brooklyn	10803
395	2015-02-26	EWR	2
396	2015-02-26	Manhattan	66299
397	2015-02-26	Queens	6578
398	2015-02-26	Staten Island	47
399	2015-02-26	Unknown	36
400	2015-02-27	Bronx	1232
401	2015-02-27	Brooklyn	12556
402	2015-02-27	EWR	1
403	2015-02-27	Manhattan	69030
404	2015-02-27	Queens	7309
405	2015-02-27	Staten Island	40
406	2015-02-27	Unknown	49
407	2015-02-28	Bronx	1390
408	2015-02-28	Brooklyn	16361
409	2015-02-28	EWR	0
410	2015-02-28	Manhattan	64480
411	2015-02-28	Queens	7418
412	2015-02-28	Staten Island	34
